City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mitu,1.1983,-70.1733,22.42,99,100,0.85,CO,1685234434
1,longyearbyen,78.2186,15.6401,-2.09,54,0,3.09,SJ,1685234435
2,irymple,-34.25,142.1667,12.83,88,94,3.58,AU,1685234435
3,kone,-21.0595,164.8658,25.85,51,10,3.12,NC,1685234436
4,majuro,7.0897,171.3803,30.98,74,75,2.06,MH,1685234437
5,coquimbo,-29.9533,-71.3436,13.85,88,0,2.06,CL,1685234183
6,adamstown,-25.066,-130.1015,22.3,73,35,10.99,PN,1685234437
7,edinburgh of the seven seas,-37.0676,-12.3116,12.61,55,75,3.35,SH,1685234438
8,nova xavantina,-14.6667,-52.35,23.29,62,16,0.54,BR,1685234438
9,pauini,-7.7136,-66.9764,23.8,94,78,0.71,BR,1685234439
10,bethel,41.3712,-73.414,19.46,50,2,0.45,US,1685234159
11,margate,51.3813,1.3862,11.06,89,9,1.79,GB,1685234440
12,albany,42.6001,-73.9662,19.88,57,0,1.39,US,1685234155
13,vadso,70.0744,29.7487,6.09,56,100,4.63,NO,1685234441
14,aldinga beach,-35.2793,138.4604,16.78,79,34,7.63,AU,1685234403
15,punta arenas,-53.15,-70.9167,5.06,75,100,4.57,CL,1685234442
16,hawaiian paradise park,19.5933,-154.9731,25.73,78,75,4.63,US,1685234439
17,margaret river,-33.95,115.0667,16.02,66,100,2.3,AU,1685234442
18,aasiaat,68.7098,-52.8699,-5.3,72,100,3.02,GL,1685234443
19,ilulissat,69.2167,-51.1,-8.84,89,95,3.73,GL,1685234444
20,buka,40.8108,69.1986,19.31,32,0,0.61,UZ,1685234323
21,bubaque,11.2833,-15.8333,27.19,82,96,6.88,GW,1685234444
22,lautoka,-17.6167,177.4667,28.92,65,40,3.6,FJ,1685234445
23,qaqortoq,60.7167,-46.0333,2.92,70,100,0.18,GL,1685234445
24,atafu village,-8.5421,-172.5159,29.03,73,4,6.18,TK,1685234446
25,udachny,66.4167,112.4,11.37,64,100,4.46,RU,1685234446
26,iqaluit,63.7506,-68.5145,-3.15,68,75,4.12,CA,1685234447
27,miyako,39.6367,141.9525,16.58,96,100,3.05,JP,1685234447
28,kirakira,-10.4544,161.9205,29.16,72,89,3.54,SB,1685234448
29,kapuskasing,49.4169,-82.4331,29.0,21,0,7.2,CA,1685234448
30,ust-nera,64.5667,143.2,10.34,48,4,0.87,RU,1685234449
31,fort bragg,35.139,-79.006,16.22,96,100,9.26,US,1685234449
32,keflavik,64.0049,-22.5624,6.24,81,100,7.2,IS,1685234449
33,salinopolis,-0.6136,-47.3561,25.5,88,100,4.0,BR,1685234450
34,sitka,57.0531,-135.33,11.94,71,100,4.12,US,1685234450
35,tarifa,36.0139,-5.607,19.01,88,8,3.94,ES,1685234450
36,vilyuysk,63.7553,121.6247,9.99,56,33,3.36,RU,1685234451
37,nemuro,43.3236,145.575,11.52,89,100,6.76,JP,1685234451
38,talnakh,69.4865,88.3972,5.67,82,27,4.98,RU,1685234451
39,avarua,-21.2078,-159.775,26.03,83,75,8.23,CK,1685234452
40,carbonear,47.7332,-53.2148,7.86,82,100,5.08,CA,1685234452
41,altamira,-3.2033,-52.2064,23.44,97,69,1.21,BR,1685234282
42,ghoti budrukh,19.7167,73.6333,22.58,89,17,2.46,IN,1685234453
43,waitangi,-43.9535,-176.5597,16.01,90,100,1.34,NZ,1685234453
44,christchurch,-43.5333,172.6333,20.74,61,62,3.6,NZ,1685234366
45,georgetown,5.4112,100.3354,27.96,80,20,1.54,MY,1685234454
46,medias,46.1667,24.35,13.47,88,75,0.97,RO,1685234454
47,roosevelt,33.9668,-103.4505,20.12,75,100,11.53,US,1685234180
48,port-aux-francais,-49.35,70.2167,4.35,87,100,14.17,TF,1685234455
49,pariaman,-0.619,100.12,25.03,81,22,0.91,ID,1685234456
50,priargunsk,50.3691,119.1012,14.2,37,74,4.34,RU,1685234456
51,yellowknife,62.456,-114.3525,20.31,27,75,7.2,CA,1685234452
52,mazatlan,23.2167,-106.4167,29.98,70,0,3.6,MX,1685234354
53,prince rupert,54.3161,-130.3201,12.05,67,100,2.57,CA,1685234457
54,kodiak,57.79,-152.4072,8.73,81,100,4.12,US,1685234457
55,santa terezinha,-29.9002,-50.0904,17.98,81,100,5.35,BR,1685234458
56,kingston,17.997,-76.7936,28.53,73,20,6.69,JM,1685234247
57,grytviken,-54.2811,-36.5092,-1.04,79,18,5.78,GS,1685234458
58,bilibino,68.0546,166.4372,5.95,63,100,8.34,RU,1685234459
59,inarajan village,13.2736,144.7484,30.08,81,100,6.73,GU,1685234459
60,la sarre,48.8002,-79.1996,17.46,58,4,3.83,CA,1685234459
61,san luis de la loma,17.2706,-100.8939,29.34,67,2,2.36,MX,1685234460
62,anadyr,64.75,177.4833,6.28,61,0,4.0,RU,1685234460
63,riviere-du-loup,47.8304,-69.5342,19.15,52,5,1.03,CA,1685234460
64,la foa,-21.7108,165.8276,24.37,58,0,2.8,NC,1685234461
65,uturoa,-16.7333,-151.4333,28.04,70,3,9.2,PF,1685234461
66,susuman,62.7833,148.1667,8.19,40,53,1.67,RU,1685234462
67,mekhe,15.1097,-16.6218,25.22,67,97,6.06,SN,1685234463
68,zouerate,22.7187,-12.4521,25.34,45,100,2.49,MR,1685234464
69,vredendal,-31.6683,18.5012,9.95,57,0,0.65,ZA,1685234464
70,colipapa,9.4726,122.5616,28.43,78,95,5.2,PH,1685234465
71,meadow lake,34.8014,-106.5436,29.06,12,89,8.17,US,1685234465
72,bam,29.106,58.357,26.56,31,1,2.22,IR,1685234466
73,palmer,42.1584,-72.3287,23.34,43,0,3.6,US,1685234466
74,invercargill,-46.4,168.35,11.66,71,100,2.75,NZ,1685234467
75,warren,39.4334,-84.1666,22.47,50,0,2.06,US,1685234467
76,puerto natales,-51.7236,-72.4875,0.95,86,100,2.87,CL,1685234467
77,vila franca do campo,37.7167,-25.4333,17.23,85,95,3.82,PT,1685234468
78,ushuaia,-54.8,-68.3,5.81,75,75,10.8,AR,1685234469
79,minas de marcona,-15.2119,-75.1103,15.19,87,100,5.35,PE,1685234469
80,crane,31.3974,-102.3501,24.08,59,100,7.12,US,1685234470
